,Code,Name,Date,Open,High,Low,Close,Volume,Change
0,195870,해성디에스,2019-01-02,13000,13050,12300,12350,53965,-0.04633204633204635
1,195870,해성디에스,2019-01-03,12450,13000,12250,12450,49482,0.008097165991902909
2,195870,해성디에스,2019-01-04,12300,12700,12200,12650,26906,0.016064257028112428
3,195870,해성디에스,2019-01-07,12800,13000,12750,12900,22264,0.019762845849802483
4,195870,해성디에스,2019-01-08,12750,12950,12650,12650,17164,-0.019379844961240345
5,195870,해성디에스,2019-01-09,12600,13050,12600,12950,21773,0.02371541501976293
6,195870,해성디에스,2019-01-10,13000,13300,12800,13150,32951,0.015444015444015413
7,195870,해성디에스,2019-01-11,13200,13350,13050,13200,20062,0.0038022813688212147
8,195870,해성디에스,2019-01-14,13200,13200,12700,12850,54304,-0.02651515151515149
9,195870,해성디에스,2019-01-15,12850,13250,12850,13150,33918,0.023346303501945442
10,195870,해성디에스,2019-01-16,13200,14000,13100,13750,120385,0.04562737642585546
11,195870,해성디에스,2019-01-17,13700,13900,13350,13600,47636,-0.010909090909090868
12,195870,해성디에스,2019-01-18,13600,13800,13400,13600,45520,0.0
13,195870,해성디에스,2019-01-21,13050,13300,12700,12900,173249,-0.051470588235294164
14,195870,해성디에스,2019-01-22,13000,13000,12500,12500,80095,-0.03100775193798455
15,195870,해성디에스,2019-01-23,12400,12650,12300,12300,43920,-0.016000000000000014
16,195870,해성디에스,2019-01-24,12400,12550,12350,12450,30180,0.012195121951219523
17,195870,해성디에스,2019-01-25,12550,13350,12550,13050,153170,0.04819277108433728
18,195870,해성디에스,2019-01-28,13100,13450,13100,13350,66711,0.02298850574712641
19,195870,해성디에스,2019-01-29,13200,13400,13050,13300,37412,-0.0037453183520599342
20,195870,해성디에스,2019-01-30,13450,13500,13050,13150,25360,-0.011278195488721776
21,195870,해성디에스,2019-01-31,13250,13550,13200,13450,63346,0.02281368821292773
22,195870,해성디에스,2019-02-01,13350,13700,13150,13350,39077,-0.007434944237918238
23,195870,해성디에스,2019-02-07,13350,13550,13250,13550,51432,0.014981273408239737
24,195870,해성디에스,2019-02-08,13500,13600,13350,13500,35128,-0.0036900369003689533
25,195870,해성디에스,2019-02-11,13600,13600,13300,13500,35954,0.0
26,195870,해성디에스,2019-02-12,13550,13750,13450,13550,27606,0.003703703703703765
27,195870,해성디에스,2019-02-13,13550,14200,13500,14000,112714,0.033210332103321034
28,195870,해성디에스,2019-02-14,14000,14200,13700,14000,60204,0.0
29,195870,해성디에스,2019-02-15,14000,14100,13450,13900,70659,-0.007142857142857118
30,195870,해성디에스,2019-02-18,14050,14050,13750,13850,61594,-0.0035971223021582506
31,195870,해성디에스,2019-02-19,13850,14950,13750,14550,165412,0.05054151624548742
32,195870,해성디에스,2019-02-20,14500,14700,14350,14600,44275,0.003436426116838476
33,195870,해성디에스,2019-02-21,14500,14600,14150,14450,46970,-0.010273972602739769
34,195870,해성디에스,2019-02-22,14350,14700,14150,14500,46669,0.0034602076124568004
35,195870,해성디에스,2019-02-25,14250,14650,14250,14400,29315,-0.006896551724137946
36,195870,해성디에스,2019-02-26,14500,14500,14050,14150,25571,-0.01736111111111116
37,195870,해성디에스,2019-02-27,14250,14250,13950,14150,17177,0.0
38,195870,해성디에스,2019-02-28,14150,14150,13500,13550,64063,-0.042402826855123636
39,195870,해성디에스,2019-03-04,13650,14000,13650,13950,22556,0.029520295202952074
40,195870,해성디에스,2019-03-05,13750,13850,13600,13750,21626,-0.01433691756272404
41,195870,해성디에스,2019-03-06,13850,15750,13750,15000,702199,0.09090909090909084
42,195870,해성디에스,2019-03-07,14900,15600,14400,14450,459220,-0.03666666666666663
43,195870,해성디에스,2019-03-08,14250,14550,14050,14100,124158,-0.02422145328719727
